Area,Bedrooms,Bathrooms,Floors,Age,LocationScore,Price
1000,2,1,1,12,5,2500000
1100,2,2,1,10,6,2800000
1200,3,2,1,8,6,3200000
1300,3,2,2,7,7,3600000
1400,3,2,2,6,7,4000000
1500,3,3,2,5,8,4500000
1600,4,3,2,5,8,5000000
1700,4,3,2,4,8,5500000
1800,4,3,2,3,9,6000000
1900,4,3,2,3,9,6500000
2000,4,4,2,2,10,7000000
2100,5,4,2,2,10,7500000
2200,5,4,3,1,10,8000000
2300,5,4,3,1,10,8500000
2400,5,4,3,1,10,9000000
2500,5,5,3,1,10,9500000
2600,5,5,3,1,10,10000000
2700,5,5,3,1,10,10500000
2800,5,5,3,1,10,11000000
2900,5,5,3,1,10,11500000
3000,6,5,3,1,10,12000000
